aX,aY,aZ,gX,gY,gZ
1.100,-0.272,-0.857,-33.386,-141.846,20.874
1.061,-0.275,-0.739,-23.560,-146.912,44.617
1.003,-0.270,-0.699,-20.325,-147.156,72.388
0.914,-0.316,-0.665,-19.592,-146.729,98.633
0.808,-0.301,-0.608,-12.573,-146.545,122.314
0.698,-0.216,-0.527,-3.357,-145.508,143.738
0.588,-0.134,-0.426,2.563,-142.639,161.255
0.491,-0.107,-0.336,3.784,-138.184,174.255
0.378,-0.064,-0.254,2.197,-133.667,184.937
0.258,0.000,-0.189,0.061,-129.883,194.092
0.161,0.051,-0.158,-3.174,-126.770,200.745
0.069,0.085,-0.138,-6.226,-125.427,205.078
-0.023,0.137,-0.108,-7.385,-127.075,207.703
-0.100,0.155,-0.055,-7.568,-131.042,208.557
-0.184,0.155,0.020,-4.883,-135.498,208.679
-0.284,0.261,0.189,1.526,-137.146,211.548
-0.419,0.422,0.389,5.371,-131.104,217.407
-0.636,0.636,0.555,2.502,-115.295,224.731
-0.923,0.866,0.768,-2.930,-91.858,230.225
-1.226,1.196,1.058,-3.235,-60.730,231.140
-1.569,1.644,1.306,-5.981,-18.738,225.464
-1.900,2.170,1.400,-20.447,34.851,204.651
-2.168,2.724,1.257,-48.523,95.276,157.349
-2.227,2.844,0.940,-83.374,150.146,76.721
-2.400,2.662,0.551,-106.750,189.819,-29.236
-2.364,2.191,0.188,-95.886,214.539,-147.339
-2.129,1.442,-0.052,-66.467,234.070,-263.672
-1.880,0.549,-0.567,-57.068,254.761,-357.239
-1.414,-0.285,-1.039,-40.649,269.043,-417.053
-0.870,-0.823,-1.277,-2.014,275.818,-441.956
-0.377,-0.996,-1.269,32.715,283.630,-432.495
-0.008,-0.834,-1.300,44.434,296.692,-394.775
0.369,-0.886,-1.453,37.415,306.091,-348.389
0.916,-1.008,-1.774,21.851,316.101,-307.068
1.603,-1.198,-2.193,8.057,320.618,-282.593
2.361,-1.644,-2.667,-0.793,317.383,-275.513
3.206,-2.124,-3.003,-0.427,297.668,-266.602
3.814,-2.354,-3.244,5.676,255.066,-234.009
4.000,-2.397,-3.240,23.132,192.810,-189.148
4.000,-2.194,-3.024,38.879,118.774,-128.052
4.000,-1.920,-2.777,43.945,44.556,-52.185
3.702,-1.634,-2.493,42.908,-26.123,23.987
3.187,-1.330,-2.209,42.175,-87.524,87.585
2.609,-1.021,-2.016,38.818,-129.211,135.620
2.018,-0.694,-1.901,41.199,-154.236,174.438
1.453,-0.404,-1.835,49.194,-172.913,205.688
0.945,-0.168,-1.785,53.955,-192.383,228.394
0.494,0.059,-1.737,53.345,-215.942,240.967
0.126,0.257,-1.713,47.119,-244.751,242.310
-0.181,0.363,-1.687,37.354,-278.992,233.643
-0.443,0.465,-1.623,30.762,-319.031,218.445
-0.650,0.490,-1.432,29.236,-361.328,198.792
-0.850,0.431,-1.137,31.250,-399.475,176.025
-1.024,0.329,-0.757,28.076,-428.406,152.283
-1.208,0.226,-0.363,15.808,-443.420,131.592
-1.405,0.182,0.027,-3.662,-443.237,117.371
-1.588,0.279,0.390,-21.545,-427.063,111.511
-1.783,0.441,0.756,-26.550,-392.761,114.136
-2.027,0.656,1.146,-16.357,-338.623,126.465
-2.253,1.032,1.545,0.732,-263.855,150.269
-2.475,1.561,1.948,15.381,-170.715,173.157
-2.662,2.158,2.214,23.865,-60.608,171.082
-2.818,2.597,2.224,18.555,61.707,121.887
-2.870,2.649,1.917,6.897,182.617,22.156
-2.765,2.225,1.383,-0.183,286.133,-107.849
-2.588,1.439,0.752,-3.601,363.525,-235.962
-2.275,0.493,-0.010,-5.188,410.583,-332.275
-1.748,-0.365,-0.674,0.916,428.406,-387.146
-1.099,-0.987,-1.164,4.883,432.617,-408.264
-0.415,-1.313,-1.418,-2.258,420.776,-399.963
0.384,-1.511,-1.692,-32.959,399.475,-376.221
1.213,-1.527,-1.974,-72.754,367.432,-346.313
2.096,-1.439,-2.440,-96.924,326.294,-315.918
3.033,-1.645,-2.920,-95.886,279.175,-290.344
3.806,-2.008,-3.189,-65.125,232.971,-264.343
4.000,-2.228,-3.146,-15.930,189.331,-227.417
4.000,-2.228,-2.979,24.353,145.447,-167.847
4.000,-1.990,-2.765,52.124,91.736,-90.698
3.975,-1.627,-2.477,66.711,25.330,-13.489
3.438,-1.357,-2.214,59.570,-45.044,50.720
2.832,-1.103,-1.986,40.222,-110.657,102.600
2.230,-0.843,-1.764,24.597,-164.673,144.470
1.652,-0.582,-1.547,19.348,-205.200,178.101
1.146,-0.378,-1.371,20.142,-232.117,203.186
0.735,-0.227,-1.234,21.667,-247.986,219.055
0.371,-0.151,-1.159,19.226,-257.141,227.783
0.070,-0.085,-1.120,14.832,-265.991,231.995
-0.193,-0.069,-1.073,8.972,-279.907,229.797
-0.437,-0.084,-0.968,5.188,-299.500,224.915
-0.673,-0.129,-0.785,3.540,-322.693,221.436
-0.898,-0.138,-0.529,3.235,-344.482,221.924
-1.109,-0.076,-0.202,5.005,-358.765,227.051
-1.303,0.055,0.147,6.348,-360.229,234.436
-1.548,0.117,0.461,4.028,-346.436,241.272
-1.838,0.233,0.869,3.113,-318.115,250.610
-2.116,0.570,1.345,0.122,-272.827,267.517
-2.344,1.108,1.749,-18.921,-207.642,283.691
-2.518,1.779,1.994,-52.429,-125.916,281.860
-2.665,2.470,2.054,-83.191,-35.034,242.859
-2.744,2.888,1.906,-102.173,60.425,156.067
-2.715,2.692,1.524,-106.934,155.396,27.405
-2.519,2.115,0.989,-87.341,242.249,-116.760
-2.302,1.424,0.490,-56.641,315.552,-247.375
-2.117,0.730,-0.031,-35.095,373.047,-347.534
-1.816,-0.089,-0.672,-34.668,409.851,-413.696
-1.254,-0.792,-1.228,-45.654,420.471,-447.510
-0.522,-1.392,-1.730,-66.284,404.236,-455.078
0.381,-1.762,-2.044,-108.154,361.206,-442.200
1.179,-1.633,-2.222,-144.592,305.481,-417.175
