aX,aY,aZ,gX,gY,gZ
0.568,0.108,-0.853,-116.455,17.761,118.103
0.562,0.131,-0.890,-125.427,23.193,116.760
0.558,0.128,-0.943,-131.714,24.353,113.708
0.552,0.108,-0.992,-132.080,21.545,110.779
0.557,0.108,-0.997,-126.343,16.235,109.192
0.579,0.127,-0.966,-117.981,11.292,109.741
0.586,0.136,-0.929,-110.779,9.399,112.793
0.577,0.134,-0.899,-103.943,10.437,117.493
0.563,0.139,-0.867,-96.497,13.184,122.253
0.554,0.160,-0.826,-88.745,16.785,127.563
0.543,0.186,-0.786,-82.153,21.484,132.019
0.529,0.201,-0.761,-77.759,25.818,134.583
0.522,0.225,-0.740,-75.745,29.785,135.864
0.492,0.223,-0.741,-75.989,33.936,136.292
0.498,0.270,-0.741,-74.646,36.560,136.475
0.496,0.292,-0.738,-72.571,36.560,135.986
0.494,0.302,-0.727,-70.862,37.720,135.315
0.491,0.318,-0.721,-67.688,41.931,136.841
0.487,0.341,-0.730,-64.575,49.866,139.954
0.492,0.373,-0.750,-60.852,59.875,143.921
0.490,0.404,-0.778,-54.688,70.068,147.827
0.474,0.448,-0.794,-44.434,78.979,151.489
0.446,0.484,-0.806,-31.982,86.487,154.785
0.418,0.515,-0.801,-17.395,93.262,158.386
0.378,0.554,-0.794,-1.892,101.196,162.354
0.332,0.612,-0.801,11.902,110.474,166.748
0.294,0.666,-0.851,22.278,119.934,170.593
0.260,0.715,-0.916,30.640,126.587,171.753
0.219,0.768,-0.971,39.673,128.357,168.945
0.175,0.822,-0.997,49.316,125.122,162.415
0.136,0.873,-0.998,57.678,118.103,152.893
0.097,0.910,-0.985,62.866,108.459,141.968
0.062,0.948,-0.962,64.331,98.267,130.188
0.034,0.980,-0.945,62.500,88.440,117.859
0.017,0.998,-0.939,58.716,79.041,104.431
0.014,1.010,-0.934,54.932,70.313,89.478
0.015,1.013,-0.923,51.941,61.462,73.914
0.016,1.005,-0.911,49.683,52.063,58.044
0.024,0.984,-0.884,47.729,42.542,42.236
0.036,0.959,-0.847,45.837,33.142,27.893
0.049,0.924,-0.805,43.091,24.536,15.015
0.065,0.893,-0.762,39.246,17.395,4.456
0.082,0.860,-0.727,34.851,12.146,-3.418
0.101,0.828,-0.707,30.334,8.484,-8.545
0.117,0.803,-0.688,26.611,6.592,-12.756
0.128,0.787,-0.675,23.987,6.042,-15.625
0.140,0.779,-0.667,21.851,6.897,-18.372
0.152,0.767,-0.672,19.775,8.667,-20.996
0.163,0.749,-0.686,18.250,10.559,-23.743
0.177,0.732,-0.700,17.700,11.536,-26.428
0.192,0.715,-0.708,18.311,11.963,-29.053
0.207,0.701,-0.715,18.616,12.146,-31.372
0.221,0.690,-0.723,18.433,12.390,-33.508
0.234,0.677,-0.733,17.395,12.329,-35.950
0.247,0.658,-0.739,17.029,12.085,-38.757
0.263,0.637,-0.735,17.700,11.597,-41.443
0.282,0.614,-0.734,18.494,11.414,-43.457
0.295,0.589,-0.735,18.860,11.780,-43.823
0.308,0.574,-0.740,17.761,12.451,-42.908
0.322,0.570,-0.751,16.663,13.306,-41.077
0.333,0.566,-0.769,14.832,13.611,-40.039
0.342,0.563,-0.781,13.428,13.062,-39.185
0.351,0.557,-0.790,12.695,11.719,-38.391
0.355,0.551,-0.797,12.207,10.132,-37.537
0.356,0.541,-0.801,12.146,9.216,-36.011
0.356,0.540,-0.797,12.939,8.301,-33.875
0.357,0.550,-0.789,14.221,8.118,-31.555
0.350,0.559,-0.781,14.832,8.423,-29.419
0.342,0.564,-0.774,15.869,9.033,-27.222
0.333,0.571,-0.758,17.822,10.132,-25.452
0.317,0.583,-0.737,20.813,11.780,-23.865
0.300,0.596,-0.722,23.804,14.832,-22.156
0.287,0.621,-0.706,26.855,19.470,-20.996
0.278,0.646,-0.702,29.785,24.597,-20.935
0.266,0.658,-0.706,31.677,29.114,-22.583
0.254,0.666,-0.716,32.654,32.471,-25.024
0.245,0.675,-0.714,33.203,34.302,-27.283
0.238,0.680,-0.713,34.363,35.583,-29.053
0.229,0.686,-0.708,35.095,37.109,-30.090
0.221,0.695,-0.708,35.095,38.696,-30.884
0.214,0.701,-0.707,35.339,40.283,-32.471
0.205,0.698,-0.706,34.790,41.931,-35.400
0.195,0.695,-0.708,33.630,43.030,-38.757
0.188,0.708,-0.710,32.837,43.640,-42.236
0.184,0.712,-0.715,31.311,43.762,-45.898
0.180,0.711,-0.725,28.381,43.213,-48.645
0.178,0.717,-0.741,25.818,42.664,-50.415
0.174,0.723,-0.750,25.330,41.992,-52.002
0.163,0.729,-0.744,27.039,41.748,-53.223
0.147,0.758,-0.736,29.724,42.419,-54.260
0.129,0.791,-0.726,32.288,44.067,-55.908
0.111,0.807,-0.714,34.485,46.021,-59.326
0.103,0.821,-0.702,36.499,47.546,-64.575
0.108,0.807,-0.711,37.537,49.072,-71.594
0.133,0.782,-0.722,38.330,50.720,-79.834
0.159,0.757,-0.737,39.063,51.514,-88.440
0.179,0.722,-0.744,39.734,51.819,-96.069
0.199,0.689,-0.742,41.931,51.208,-101.990
0.218,0.660,-0.727,45.044,50.293,-104.858
0.220,0.650,-0.697,49.500,50.781,-103.271
0.208,0.682,-0.654,54.565,53.650,-97.717

0.152,-0.036,-1.110,0.671,36.743,32.898
0.093,-0.037,-1.139,8.667,45.593,38.269
0.172,0.029,-1.108,20.996,47.913,39.124
0.156,0.010,-1.122,24.658,49.316,38.513
0.150,-0.059,-1.193,17.273,45.532,40.710
0.167,-0.124,-1.224,11.292,36.499,45.410
0.157,-0.115,-1.219,7.874,25.635,51.331
0.139,-0.132,-1.228,1.587,15.076,56.885
0.121,-0.156,-1.242,-4.578,5.554,61.340
0.108,-0.199,-1.254,-7.629,-1.648,65.247
0.095,-0.246,-1.283,-8.789,-6.287,69.885
0.107,-0.268,-1.282,-8.118,-9.460,74.890
0.134,-0.297,-1.260,-5.798,-12.024,78.369
