aX,aY,aZ,gX,gY,gZ
0.159,0.141,-1.060,-3.540,-5.676,9.216
0.162,0.139,-1.030,-2.930,-7.324,6.958
0.170,0.139,-1.006,-2.930,-7.751,5.432
0.176,0.136,-0.993,-3.601,-7.507,4.700
0.179,0.134,-0.988,-3.723,-6.714,4.944
0.178,0.130,-0.985,-3.418,-6.042,5.920
0.183,0.135,-0.983,-2.441,-5.615,7.019
0.193,0.143,-0.974,-2.441,-5.371,8.423
0.186,0.145,-0.973,-3.174,-5.249,10.925
0.175,0.161,-0.969,-3.601,-5.615,13.550
0.161,0.179,-0.962,-3.662,-6.531,15.076
0.151,0.194,-0.959,-3.967,-6.958,14.954
0.142,0.204,-0.956,-3.906,-6.775,14.160
0.136,0.206,-0.952,-3.906,-5.798,12.695
0.132,0.205,-0.946,-3.479,-4.578,11.047
0.133,0.205,-0.955,-3.662,-3.174,9.705
0.141,0.200,-0.960,-3.906,-2.380,8.911
0.151,0.204,-0.960,-3.540,-2.075,8.606
0.150,0.210,-0.964,-2.747,-1.892,8.911
0.152,0.218,-0.966,-2.319,-1.831,9.583
0.152,0.229,-0.969,-1.892,-1.770,9.644
0.145,0.229,-0.954,-0.977,-2.014,8.667
0.135,0.229,-0.934,-0.854,-1.953,7.202
0.138,0.233,-0.950,-2.136,-1.099,6.226
0.139,0.233,-0.971,-3.296,-0.427,5.493
0.135,0.229,-0.978,-2.869,-0.610,4.822
0.132,0.226,-0.973,-1.953,-1.160,4.272
0.133,0.227,-0.972,-1.343,-1.343,3.357
0.136,0.228,-0.977,-1.099,-1.465,2.441
0.143,0.220,-0.982,-0.122,-1.648,1.526
0.144,0.210,-0.964,1.770,-1.831,0.732
0.149,0.200,-0.957,2.502,-1.160,0.183
0.157,0.191,-0.962,2.197,-0.122,-0.122
0.161,0.184,-0.969,1.526,0.488,-0.122
0.165,0.185,-0.970,1.038,0.305,0.305
0.165,0.184,-0.960,0.732,-0.610,0.732
0.167,0.177,-0.957,-0.366,-1.221,1.160
0.169,0.174,-0.959,-0.977,-1.465,1.892
