aX,aY,aZ,gX,gY,gZ
-0.456,0.862,-1.113,63.293,-95.642,-17.700
-0.485,0.864,-1.037,66.895,-104.065,-18.860
-0.497,0.856,-0.944,70.007,-111.877,-22.278
-0.495,0.853,-0.832,71.960,-118.469,-25.818
-0.484,0.860,-0.743,70.740,-122.742,-28.015
-0.478,0.839,-0.704,66.467,-124.390,-29.785
-0.475,0.837,-0.684,64.209,-125.488,-30.701
-0.475,0.842,-0.637,65.674,-127.502,-33.020
-0.455,0.847,-0.570,66.589,-129.150,-35.278
-0.435,0.858,-0.503,66.040,-130.371,-35.583
-0.431,0.867,-0.428,64.087,-131.714,-34.851
-0.430,0.885,-0.361,58.960,-132.812,-35.095
-0.410,0.907,-0.329,50.720,-132.324,-36.377
-0.387,0.904,-0.328,41.687,-130.249,-38.330
-0.363,0.877,-0.359,34.241,-126.709,-40.771
-0.342,0.845,-0.382,31.860,-122.742,-42.480
-0.332,0.824,-0.387,34.058,-119.934,-43.396
-0.310,0.814,-0.367,38.147,-118.530,-44.006
-0.285,0.813,-0.328,41.565,-117.188,-44.922
-0.255,0.804,-0.314,41.931,-115.662,-46.387
-0.222,0.765,-0.306,39.734,-113.708,-48.340
-0.183,0.720,-0.315,37.109,-112.366,-49.194
-0.143,0.678,-0.326,35.706,-111.633,-48.157
-0.114,0.657,-0.317,38.208,-110.962,-44.617
-0.092,0.640,-0.297,42.664,-110.168,-39.917
-0.072,0.644,-0.262,45.959,-109.192,-34.729
-0.052,0.693,-0.225,47.974,-107.849,-29.846
-0.041,0.733,-0.220,46.448,-105.957,-26.733
-0.038,0.732,-0.224,43.091,-104.187,-26.123
-0.031,0.714,-0.242,41.748,-101.379,-26.733
-0.003,0.690,-0.253,43.030,-97.168,-27.710
0.014,0.667,-0.242,46.082,-92.163,-27.954
0.017,0.652,-0.242,48.035,-87.585,-25.940
0.023,0.665,-0.242,50.110,-83.740,-21.606
0.026,0.689,-0.248,52.490,-80.872,-16.541
0.028,0.711,-0.236,54.504,-80.017,-13.367
0.025,0.743,-0.214,55.420,-80.139,-10.986
0.023,0.771,-0.196,53.711,-81.543,-9.949
0.026,0.779,-0.165,51.514,-83.008,-9.888
0.048,0.807,-0.133,50.598,-83.313,-11.169
0.074,0.806,-0.139,48.157,-81.909,-13.367
0.092,0.773,-0.143,47.180,-78.857,-15.442
0.106,0.753,-0.134,49.255,-75.195,-16.174
0.115,0.737,-0.116,52.490,-71.777,-15.686
0.119,0.734,-0.078,56.641,-68.420,-13.489
0.104,0.730,-0.051,58.655,-64.636,-10.315
0.097,0.736,-0.045,56.885,-60.791,-6.226
0.084,0.780,-0.048,54.871,-58.228,-2.136
0.064,0.835,-0.028,52.917,-58.044,1.160
0.039,0.887,0.014,49.683,-60.425,1.648
0.025,0.923,0.061,44.373,-63.293,-0.305
0.024,0.938,0.104,36.987,-65.552,-3.906
0.029,0.935,0.133,28.687,-66.345,-7.935
0.046,0.914,0.156,21.362,-65.979,-12.207
0.070,0.893,0.185,16.235,-63.904,-15.625
0.098,0.890,0.215,12.878,-60.425,-17.212
0.121,0.877,0.233,9.705,-55.542,-17.639
0.137,0.858,0.247,5.798,-49.072,-17.151
0.148,0.854,0.239,2.319,-41.321,-15.564
0.170,0.857,0.210,0.061,-33.508,-13.245
0.175,0.864,0.183,-0.549,-26.611,-10.681
0.166,0.885,0.160,-0.244,-20.813,-8.301
0.164,0.902,0.143,-0.244,-17.029,-8.118
0.170,0.906,0.137,-1.343,-15.198,-9.705
0.175,0.895,0.143,-2.747,-14.587,-11.658
0.193,0.885,0.158,-6.104,-14.221,-13.000
0.206,0.875,0.159,-10.437,-13.062,-13.367
0.214,0.870,0.141,-15.015,-11.169,-12.390
0.221,0.865,0.113,-18.494,-8.362,-10.742
0.219,0.864,0.099,-19.287,-5.371,-9.521
0.238,0.882,0.076,-18.738,-2.075,-8.423
0.243,0.877,0.036,-19.165,1.587,-6.531
0.242,0.887,-0.006,-19.409,3.784,-4.822
0.242,0.902,-0.031,-16.357,4.211,-3.540
0.247,0.913,-0.034,-13.550,4.089,-3.357
0.253,0.923,-0.031,-11.658,3.113,-3.418

0.604,-0.214,-0.918,-18.860,41.870,5.920
0.645,-0.153,-0.878,-16.113,28.992,30.396
0.544,0.043,-0.791,-1.282,16.052,48.584
0.454,0.157,-0.640,7.874,9.949,53.833
0.436,0.182,-0.541,7.751,9.277,48.218
0.447,0.095,-0.485,4.578,11.597,39.612
0.470,0.005,-0.462,0.854,13.306,35.522
0.484,-0.064,-0.422,-1.404,14.771,38.086
0.486,-0.134,-0.374,0.244,17.334,44.678
0.476,-0.184,-0.260,5.066,20.447,54.199
0.429,-0.177,-0.128,8.057,25.757,66.467
0.378,-0.122,-0.080,4.822,35.095,79.956
0.328,-0.084,-0.054,-0.549,46.814,90.393
0.286,-0.028,-0.042,-5.005,58.044,96.619
0.279,-0.002,-0.051,-11.230,67.261,99.426
0.281,-0.029,-0.062,-18.127,74.402,100.647
0.270,-0.119,-0.098,-27.222,82.031,103.638
0.250,-0.152,-0.146,-30.090,91.064,111.328
0.199,-0.111,-0.115,-21.545,98.267,121.277
