aX,aY,aZ,gX,gY,gZ
0.481,-0.121,-1.650,-86.853,-159.790,51.697
0.199,0.068,-1.173,-29.724,-150.513,67.383
-0.162,0.267,-0.742,9.705,-118.103,75.867
-0.537,0.417,-0.553,21.606,-74.341,75.684
-0.752,0.465,-0.521,12.939,-40.100,63.660
-0.863,0.334,-0.504,-3.540,-25.330,42.297
-0.967,0.109,-0.509,-15.381,-24.597,21.973
-1.008,-0.018,-0.552,-13.000,-28.198,14.526
-1.075,-0.088,-0.557,-2.502,-29.175,22.522
-1.197,-0.056,-0.502,7.019,-23.437,41.016
-1.313,0.008,-0.415,11.047,-11.475,60.120
-1.434,0.080,-0.344,8.423,2.563,70.496
-1.451,0.187,-0.414,-2.930,14.709,70.557
-1.393,0.219,-0.542,-20.630,18.677,62.195
-1.308,0.189,-0.625,-33.386,12.878,50.842
-1.203,0.225,-0.595,-35.339,2.502,41.382
-1.117,0.249,-0.535,-34.607,-4.150,34.241
-1.054,0.263,-0.469,-37.231,-3.906,27.771
-1.004,0.326,-0.450,-40.039,1.038,22.034
-0.966,0.367,-0.479,-46.387,6.165,14.709
-0.926,0.358,-0.549,-57.251,7.080,5.249
-0.858,0.294,-0.618,-68.176,2.380,-6.287
-0.773,0.220,-0.666,-74.768,-5.066,-18.616
-0.676,0.127,-0.723,-80.322,-12.573,-28.870
-0.563,0.031,-0.779,-81.665,-19.775,-34.485
-0.454,-0.064,-0.801,-75.439,-25.635,-35.400
-0.391,-0.104,-0.770,-62.256,-29.236,-31.311
-0.367,-0.080,-0.704,-46.570,-29.541,-24.292
-0.363,-0.021,-0.642,-33.936,-26.672,-18.860
-0.332,0.042,-0.604,-24.353,-22.705,-19.287
-0.281,0.064,-0.599,-16.602,-19.165,-26.062
-0.198,0.039,-0.590,-12.146,-17.639,-36.499
-0.108,-0.008,-0.587,-8.911,-17.151,-46.204
-0.034,-0.076,-0.598,-7.080,-16.052,-51.636
0.017,-0.148,-0.624,-9.094,-13.916,-51.819
0.077,-0.201,-0.692,-11.414,-10.315,-47.424
0.157,-0.226,-0.778,-12.329,-6.775,-40.894
0.175,-0.184,-0.834,-11.658,-3.906,-33.264
0.156,-0.111,-0.894,-11.353,-2.258,-25.940
0.165,-0.065,-0.939,-11.963,-2.014,-21.057
0.178,-0.024,-0.952,-10.864,-2.319,-20.325
0.197,0.005,-0.966,-9.155,-2.075,-22.705
0.215,-0.011,-1.002,-7.996,-0.549,-26.428
0.224,-0.065,-1.036,-6.287,1.953,-27.954
0.237,-0.098,-1.075,-4.517,5.371,-25.696
0.248,-0.103,-1.111,-4.028,9.277,-20.569
0.255,-0.092,-1.135,-4.028,12.390,-14.832
0.245,-0.087,-1.156,-3.967,14.404,-9.583
0.213,-0.079,-1.178,-5.920,14.587,-5.615
0.179,-0.065,-1.192,-8.972,12.939,-2.380
0.143,-0.048,-1.187,-11.658,9.827,0.305
0.119,-0.028,-1.175,-14.343,6.958,1.587
0.096,-0.018,-1.182,-17.883,5.493,2.380
0.067,-0.025,-1.196,-20.996,4.700,2.319
0.052,-0.046,-1.211,-22.705,3.601,0.671
0.052,-0.064,-1.231,-23.254,2.075,-1.648
0.051,-0.086,-1.249,-21.240,-0.183,-3.845
0.055,-0.114,-1.237,-16.235,-3.113,-5.249
0.061,-0.119,-1.189,-7.446,-5.005,-5.432
0.056,-0.122,-1.142,1.099,-4.822,-4.883
0.042,-0.125,-1.117,4.944,-2.747,-2.808
0.028,-0.115,-1.109,6.775,-0.732,0.732
0.013,-0.090,-1.098,8.362,0.183,3.601
0.010,-0.066,-1.069,10.742,-0.122,4.517
0.007,-0.047,-1.044,13.062,-0.549,4.028
0.000,-0.049,-1.016,12.878,-1.160,3.174
-0.005,-0.046,-0.991,11.414,-2.136,2.563
-0.001,-0.047,-0.979,9.216,-2.747,2.930
0.005,-0.054,-0.972,6.836,-3.235,3.235
0.013,-0.056,-0.962,4.272,-3.723,3.967
0.020,-0.062,-0.957,1.831,-3.479,5.493
0.033,-0.067,-0.963,-0.916,-3.052,6.653
0.041,-0.065,-0.975,-3.113,-2.625,7.507
0.041,-0.059,-0.982,-4.028,-2.808,8.301
0.035,-0.047,-0.983,-3.967,-3.296,9.033
0.032,-0.039,-0.983,-3.540,-3.662,9.460
0.020,-0.024,-0.976,-2.258,-3.662,9.460
0.010,-0.004,-0.975,-1.709,-2.869,8.789
0.011,0.001,-0.990,-2.136,-1.770,7.141
0.014,0.000,-0.989,-1.526,-1.160,4.517
0.021,-0.013,-0.986,-1.587,-0.793,1.709
0.032,-0.025,-0.995,-2.441,-0.549,0.183
0.035,-0.029,-1.010,-3.235,-0.305,-0.244
0.032,-0.040,-1.032,-4.822,-0.610,0.732
0.029,-0.036,-1.041,-5.188,-1.526,2.502
0.020,-0.017,-1.032,-4.639,-2.625,3.662
0.012,-0.000,-1.035,-5.371,-3.357,4.211
0.017,-0.000,-1.023,-6.042,-3.723,4.578
0.020,0.018,-1.018,-4.028,-3.845,4.333
0.016,0.022,-1.019,-3.845,-3.357,3.662
0.011,0.012,-1.027,-4.761,-2.869,2.441
0.016,0.010,-1.031,-4.211,-2.747,0.061
0.025,-0.001,-1.034,-2.991,-2.563,-2.686
0.035,-0.022,-1.030,-1.282,-2.502,-4.517
0.043,-0.034,-1.014,0.732,-2.441,-4.883
0.053,-0.040,-1.008,1.221,-2.319,-4.639
0.059,-0.042,-1.007,1.160,-2.441,-3.418
0.054,-0.031,-1.008,0.977,-2.441,-1.770
0.045,-0.028,-1.011,-0.671,-2.625,-0.061
0.049,-0.028,-1.009,-1.770,-2.869,0.732
0.056,-0.032,-1.006,-2.014,-3.052,0.488
0.054,-0.033,-0.999,-1.709,-2.747,0.183
0.057,-0.026,-0.996,-1.770,-1.892,0.183
0.061,-0.017,-1.000,-2.441,-1.099,0.305
0.061,-0.015,-1.007,-2.869,-0.793,0.549
0.059,-0.013,-1.017,-3.174,-0.977,0.610
0.055,-0.024,-1.021,-3.662,-1.770,0.610
0.048,-0.030,-1.016,-3.723,-2.625,0.793
0.046,-0.019,-1.013,-3.235,-3.113,1.282
0.045,-0.009,-1.004,-3.479,-2.991,1.709
0.038,-0.000,-1.001,-2.808,-2.747,2.441
0.027,0.000,-0.997,-2.625,-2.014,2.258
0.017,-0.000,-0.989,-2.136,-1.404,1.587
0.019,0.002,-0.993,-2.136,-0.793,0.366
0.028,-0.004,-1.009,-1.892,-0.366,-1.099
0.026,-0.016,-1.020,-1.465,-0.610,-2.075
0.026,-0.020,-1.023,-1.221,-1.038,-2.380
0.035,-0.019,-1.030,-0.488,-1.404,-2.686
0.040,-0.022,-1.036,0.488,-1.953,-2.502
0.046,-0.023,-1.037,2.136,-2.258,-1.953
0.050,-0.020,-1.025,4.333,-2.258,-1.160
0.052,-0.014,-1.013,6.531,-1.892,-0.488
0.047,-0.018,-1.004,7.751,-1.282,-0.366
0.042,-0.022,-1.000,8.301,-0.793,-0.610
0.049,-0.016,-1.003,8.179,-0.793,-0.671
0.061,-0.009,-1.012,7.385,-1.282,-0.916

0.506,-0.670,-1.119,3.235,20.386,-61.707
0.471,-0.667,-1.236,-2.258,23.926,-51.758
0.459,-0.537,-1.361,2.991,19.348,-43.152
0.511,-0.756,-1.301,17.273,13.428,-41.687
0.649,-0.941,-1.102,39.185,12.878,-41.504
0.711,-1.193,-0.920,50.476,21.118,-33.936
0.824,-1.448,-0.914,43.335,33.325,-20.325
0.937,-1.792,-1.036,26.428,38.025,-5.798
1.071,-2.088,-1.072,12.573,28.137,11.353
1.120,-2.339,-0.994,4.700,12.390,36.804
1.152,-2.564,-0.968,3.235,5.432,70.007
1.284,-2.866,-0.973,13.062,7.690,106.140
1.410,-3.167,-0.852,43.152,10.132,146.362
1.314,-3.335,-0.613,78.064,11.108,201.172
0.992,-3.160,-0.439,100.281,13.367,271.484
0.655,-2.679,-0.490,103.760,19.104,343.384
0.348,-2.357,-0.713,81.177,18.372,403.809
0.134,-2.061,-0.929,64.758,9.155,453.125
-0.256,-1.659,-0.980,59.448,-6.592,489.746
-0.690,-1.301,-0.948,53.406,-18.921,512.512
-0.974,-0.928,-1.021,49.072,-21.667,520.630
-1.116,-0.608,-1.167,35.034,-14.526,515.259
-1.362,-0.452,-1.366,22.644,-3.052,502.930
-1.695,-0.235,-1.326,41.077,5.371,494.446
-2.069,0.436,-0.904,98.022,12.878,489.319
-2.360,1.161,-0.427,145.081,30.701,469.788
-2.440,1.434,-0.242,144.592,62.622,424.194
-2.432,1.574,-0.222,127.930,95.032,359.802
-2.420,1.797,-0.273,113.892,115.967,290.283
-2.345,1.909,-0.382,84.412,120.361,222.839
-2.230,1.880,-0.519,44.617,106.873,160.522
-2.043,1.809,-0.598,7.507,78.979,104.553
-1.804,1.625,-0.712,-34.241,45.349,49.133
-1.607,1.378,-0.763,-63.293,10.620,-3.113
-1.337,1.112,-0.814,-78.979,-19.348,-49.011
-1.045,0.791,-0.871,-87.463,-42.786,-88.135
-0.759,0.498,-0.863,-83.191,-59.082,-116.638
-0.520,0.207,-0.819,-78.064,-67.078,-132.874
-0.230,0.068,-0.775,-72.083,-65.796,-137.939
0.040,-0.051,-0.759,-63.416,-57.007,-136.536
0.205,-0.221,-0.804,-57.190,-43.518,-131.958
0.324,-0.339,-0.862,-47.791,-29.907,-121.460
0.420,-0.365,-0.911,-35.217,-18.188,-105.469
0.468,-0.356,-0.949,-23.743,-9.460,-89.050
0.459,-0.325,-0.990,-14.282,-3.967,-74.829
0.451,-0.298,-0.991,-5.127,-1.587,-62.805
0.425,-0.259,-0.973,2.319,-0.549,-53.162
0.397,-0.192,-0.957,7.629,1.465,-44.922
0.375,-0.135,-0.934,9.521,3.052,-38.757
0.353,-0.108,-0.909,8.423,4.578,-34.668
0.351,-0.087,-0.896,6.165,6.165,-29.846
0.344,-0.063,-0.919,1.953,8.728,-23.132
0.324,-0.034,-0.965,-2.991,11.597,-14.160
0.302,-0.005,-1.021,-5.005,13.489,-5.432
0.277,0.029,-1.064,-3.906,13.733,1.343
0.255,0.065,-1.072,-0.671,13.062,4.883
0.238,0.060,-1.078,3.296,11.841,4.700
0.228,0.052,-1.068,6.287,10.010,3.296
0.209,0.059,-1.024,8.118,7.629,3.967
0.184,0.077,-1.002,6.958,6.348,7.019
0.162,0.106,-1.012,2.441,6.287,11.414
0.139,0.142,-1.046,-2.869,6.592,14.465
0.108,0.176,-1.077,-6.714,5.493,15.198
0.093,0.203,-1.091,-8.179,3.113,12.817
0.081,0.209,-1.081,-8.179,0.061,8.118
0.066,0.205,-1.056,-8.667,-2.136,1.953
0.068,0.185,-1.062,-10.193,-3.418,-4.395
0.083,0.145,-1.063,-11.292,-4.944,-10.010
0.109,0.100,-1.040,-11.047,-5.493,-14.221
0.130,0.059,-1.036,-10.315,-3.906,-16.785
0.148,0.024,-1.045,-9.766,-0.793,-17.578
0.166,0.004,-1.055,-9.155,1.953,-17.212
0.183,-0.002,-1.072,-9.216,3.296,-15.991
0.192,-0.013,-1.094,-9.216,2.808,-13.977
0.200,-0.016,-1.115,-9.460,0.366,-11.169
0.200,-0.013,-1.116,-7.141,-3.296,-8.179
0.192,-0.002,-1.082,-2.502,-6.897,-5.371
0.177,0.019,-1.040,2.747,-8.728,-2.502
0.163,0.030,-0.987,6.653,-8.057,0.549
0.149,0.047,-0.945,8.789,-5.798,3.052
0.135,0.071,-0.928,8.057,-2.625,4.456
0.124,0.091,-0.942,5.371,0.305,5.005
0.116,0.101,-0.959,2.380,1.648,4.944
0.118,0.111,-0.978,0.732,1.221,4.395
0.115,0.124,-0.995,-0.854,0.000,3.784
0.112,0.121,-1.011,-1.343,-1.709,3.723
0.116,0.130,-1.019,-0.244,-3.723,3.418
0.122,0.129,-1.010,2.686,-5.310,2.258
0.124,0.123,-0.975,5.676,-5.859,0.610
0.127,0.115,-0.934,6.897,-5.432,-1.953
0.139,0.099,-0.925,4.272,-3.418,-4.395
0.154,0.082,-0.945,0.610,-1.404,-5.859
0.167,0.077,-0.972,-2.747,-0.305,-6.592
0.177,0.063,-0.999,-5.066,-0.549,-6.226
0.192,0.047,-1.010,-6.409,-2.258,-5.127
0.195,0.055,-0.996,-6.226,-4.517,-3.235
0.182,0.065,-0.981,-6.104,-6.226,-0.244
0.172,0.072,-0.978,-6.714,-7.263,2.441
0.160,0.071,-0.962,-6.165,-7.446,4.272
0.145,0.085,-0.934,-4.578,-6.653,4.395
0.153,0.094,-0.938,-3.906,-3.967,2.930
0.159,0.091,-0.969,-4.333,-0.183,1.343
0.162,0.084,-1.000,-3.479,2.625,0.732
0.162,0.092,-1.013,-1.709,3.235,0.854
0.157,0.096,-1.016,0.000,2.563,0.916
0.151,0.088,-1.016,0.671,1.221,0.244
0.152,0.085,-1.007,1.465,-0.183,-1.038
0.159,0.080,-0.995,2.380,-1.404,-2.075
0.164,0.076,-0.987,3.662,-2.258,-2.136
0.164,0.071,-0.974,4.456,-2.563,-1.099
0.164,0.074,-0.966,4.211,-2.441,0.793
0.157,0.082,-0.969,3.174,-1.953,2.380
0.148,0.086,-0.969,2.136,-1.770,2.808
0.142,0.098,-0.973,1.526,-1.343,2.869
0.147,0.111,-0.969,0.977,-1.038,2.319
0.152,0.131,-0.963,1.465,-0.488,1.404
0.147,0.136,-0.971,1.282,0.427,-0.122
0.148,0.129,-0.992,0.061,1.099,-1.465
0.153,0.116,-1.004,-0.671,1.038,-3.296
0.160,0.102,-1.020,-0.183,0.244,-4.456
0.171,0.084,-1.027,0.854,-0.549,-4.822
0.182,0.077,-1.017,1.953,-1.038,-4.639
0.187,0.070,-1.006,3.174,-1.282,-3.967
0.189,0.066,-0.996,3.174,-1.343,-3.052
0.187,0.068,-0.990,2.197,-1.282,-2.014
0.185,0.069,-0.985,1.648,-1.282,-1.038
0.188,0.067,-0.976,0.610,-1.160,-0.244
0.190,0.061,-0.973,-0.244,-0.671,0.671
0.192,0.061,-0.977,-1.160,0.061,1.648
0.188,0.062,-0.985,-1.648,0.854,3.235
0.177,0.071,-0.985,-2.075,1.099,4.822
