aX,aY,aZ,gX,gY,gZ
-0.111,0.204,-0.829,39.124,-97.717,44.189
-0.098,0.213,-0.792,38.391,-97.839,43.518
-0.086,0.206,-0.758,38.452,-95.886,42.358
-0.070,0.222,-0.747,38.208,-92.529,42.053
-0.069,0.217,-0.723,38.574,-89.233,42.114
-0.055,0.229,-0.710,39.429,-86.792,42.725
-0.052,0.226,-0.677,38.391,-85.449,43.640
-0.059,0.253,-0.669,34.729,-85.571,45.471
-0.057,0.268,-0.633,29.602,-87.158,47.119
-0.055,0.256,-0.596,25.452,-88.623,47.363
-0.038,0.221,-0.582,23.499,-87.280,48.462
-0.032,0.211,-0.566,24.536,-83.740,51.025
-0.041,0.244,-0.542,26.978,-79.651,54.565
-0.054,0.287,-0.494,29.175,-75.989,57.678
-0.059,0.336,-0.448,30.762,-72.144,59.021
-0.056,0.380,-0.401,30.945,-67.200,57.983
-0.052,0.404,-0.359,28.870,-62.317,55.542
-0.035,0.437,-0.340,23.376,-58.655,52.856
-0.007,0.475,-0.328,15.442,-56.213,50.415
0.021,0.506,-0.285,8.362,-54.932,47.974
0.047,0.553,-0.238,3.235,-52.551,45.898
0.081,0.595,-0.221,-2.869,-47.546,44.006
0.114,0.636,-0.226,-7.629,-40.405,42.786
0.134,0.716,-0.250,-9.033,-31.921,42.419
0.142,0.779,-0.261,-8.911,-23.743,41.565
0.139,0.830,-0.284,-9.094,-16.479,39.001
0.135,0.880,-0.342,-12.695,-10.437,35.095
0.135,0.891,-0.403,-19.775,-6.836,30.090
0.140,0.865,-0.492,-27.893,-4.822,24.841
0.162,0.809,-0.592,-33.569,-3.723,20.813
0.180,0.769,-0.653,-34.424,-3.418,19.836
0.178,0.774,-0.717,-30.823,-2.625,21.484

0.415,0.218,-1.073,-23.926,-14.587,20.447
0.448,0.321,-0.960,-58.777,-31.494,35.706
0.336,0.415,-1.049,-69.214,-37.476,39.795
0.318,0.396,-1.083,-68.359,-47.180,30.396
0.339,0.276,-1.053,-60.181,-57.800,17.456
0.394,0.102,-1.025,-55.237,-65.674,10.803
0.400,0.053,-1.038,-55.786,-69.336,17.029
0.361,0.086,-1.006,-53.101,-69.702,27.954
0.309,0.111,-0.940,-44.006,-65.552,34.851
0.275,0.146,-0.849,-31.189,-57.617,35.889
0.262,0.184,-0.789,-22.522,-47.729,33.447
0.253,0.185,-0.754,-18.311,-37.720,28.992
0.247,0.164,-0.722,-15.808,-28.564,23.560
0.243,0.151,-0.700,-12.329,-21.179,18.250
0.238,0.112,-0.652,-6.531,-15.869,12.634
0.208,0.096,-0.564,1.099,-11.780,7.690
0.159,0.100,-0.515,6.958,-6.897,4.150
0.139,0.077,-0.537,6.653,-1.770,-0.122
0.130,0.040,-0.573,-0.610,2.197,-3.052
0.138,0.042,-0.518,-16.663,4.700,-1.404
0.112,0.185,-0.442,-36.743,7.019,4.944
0.036,0.299,-0.397,-63.843,12.268,8.850
-0.004,0.378,-0.373,-93.201,18.188,5.798
-0.036,0.395,-0.397,-120.483,24.292,-4.700
-0.031,0.391,-0.426,-136.902,30.823,-18.860
-0.019,0.356,-0.419,-142.517,37.354,-32.166
-0.002,0.337,-0.429,-140.381,45.715,-41.443
0.023,0.308,-0.449,-131.531,56.213,-46.021
0.047,0.258,-0.450,-115.112,68.726,-46.692
0.047,0.254,-0.449,-95.093,83.374,-42.664
0.025,0.320,-0.469,-78.552,97.473,-35.339
-0.017,0.413,-0.491,-68.970,106.812,-29.724
-0.054,0.473,-0.467,-67.383,109.680,-28.748
-0.083,0.489,-0.433,-72.144,109.131,-31.616
-0.100,0.490,-0.430,-82.458,108.765,-36.194
-0.115,0.478,-0.463,-94.421,110.168,-41.565
-0.131,0.467,-0.516,-104.065,113.281,-48.401
-0.149,0.448,-0.574,-110.718,116.882,-56.091
-0.158,0.401,-0.621,-113.708,120.239,-63.721
-0.151,0.340,-0.648,-111.633,124.023,-69.336
-0.142,0.302,-0.693,-106.628,128.479,-71.655
-0.142,0.275,-0.754,-99.243,132.874,-70.618
-0.159,0.243,-0.787,-90.088,135.681,-67.444
-0.183,0.248,-0.795,-79.163,137.390,-63.293
-0.223,0.278,-0.823,-70.862,137.817,-59.570
-0.264,0.308,-0.849,-68.115,136.414,-58.411
-0.289,0.326,-0.848,-69.763,133.362,-60.425
-0.322,0.281,-0.876,-78.064,132.385,-63.538
-0.293,0.279,-0.978,-78.247,133.423,-67.139
-0.305,0.256,-1.002,-68.542,130.432,-71.899
-0.312,0.198,-1.002,-63.843,128.784,-75.989
-0.308,0.141,-1.028,-59.021,130.188,-78.613
-0.296,0.139,-1.086,-49.438,131.958,-77.820
-0.298,0.127,-1.155,-42.236,132.263,-75.012
-0.316,0.107,-1.209,-35.950,130.554,-72.998
-0.326,0.106,-1.246,-27.893,128.052,-71.228
-0.332,0.111,-1.245,-18.555,125.732,-69.397
-0.353,0.087,-1.271,-11.902,125.854,-68.237
-0.369,0.076,-1.318,-3.418,127.197,-67.566
-0.374,0.102,-1.347,6.104,125.366,-67.200
-0.383,0.057,-1.416,7.812,122.131,-67.444
-0.400,0.010,-1.475,10.803,116.394,-64.697
-0.444,0.032,-1.513,14.771,108.215,-57.007
-0.508,0.077,-1.563,14.648,98.206,-48.340
-0.568,0.129,-1.626,10.925,86.853,-42.969
-0.600,0.135,-1.677,8.362,74.158,-42.480
-0.597,0.086,-1.701,6.409,60.852,-46.326
-0.589,0.026,-1.665,6.104,47.668,-50.537
-0.586,-0.008,-1.636,6.104,36.865,-53.345
-0.591,-0.048,-1.664,2.136,29.236,-54.260
-0.606,-0.142,-1.691,-3.113,22.766,-53.772
-0.612,-0.226,-1.744,-5.371,16.968,-50.598
-0.617,-0.234,-1.828,-5.310,11.902,-44.983
-0.647,-0.209,-1.886,-2.930,4.333,-39.429
