aX,aY,aZ,gX,gY,gZ
0.252,-0.282,0.961,4.578,-0.671,-9.766
0.249,-0.279,0.954,5.554,-0.977,-10.071
0.241,-0.273,0.966,5.493,-1.221,-10.071
0.242,-0.284,0.986,5.127,-1.282,-10.742
0.238,-0.289,0.990,3.967,-0.061,-11.169
0.243,-0.282,0.977,2.441,1.648,-10.925
0.248,-0.284,0.955,1.404,1.282,-11.292
0.248,-0.295,0.949,0.732,-1.038,-12.390
0.242,-0.302,0.958,-0.122,-2.808,-13.184
0.239,-0.304,0.964,-0.732,-2.869,-13.062
0.247,-0.327,0.961,-0.549,-2.014,-12.207
0.258,-0.351,0.957,-0.793,-1.099,-10.559
0.261,-0.354,0.945,-2.563,0.305,-7.874
0.256,-0.339,0.932,-4.272,1.648,-5.005
0.255,-0.315,0.912,-4.333,3.357,-2.625
0.258,-0.301,0.891,-2.563,4.333,-1.587
0.265,-0.299,0.880,-1.099,3.723,-1.221
0.256,-0.293,0.890,-1.221,1.892,-1.587
0.245,-0.282,0.910,-3.113,0.244,-1.282
0.241,-0.278,0.928,-4.333,-0.854,-1.648
0.240,-0.278,0.941,-5.798,-0.366,-3.052
0.247,-0.288,0.940,-6.226,1.160,-4.517
0.257,-0.306,0.925,-5.554,1.282,-5.432
0.261,-0.313,0.915,-5.615,-0.061,-5.249
0.255,-0.308,0.921,-6.226,-1.953,-5.066
0.253,-0.307,0.930,-5.493,-3.540,-5.432
0.250,-0.311,0.938,-3.906,-3.418,-5.615
0.250,-0.316,0.938,-1.831,-1.892,-5.249
0.252,-0.321,0.933,0.305,-0.671,-4.395
0.246,-0.323,0.926,1.709,0.000,-3.723
0.236,-0.326,0.922,2.625,0.366,-3.784
0.245,-0.324,0.903,3.479,0.244,-4.578
0.248,-0.341,0.896,5.493,-0.977,-5.615
0.260,-0.360,0.904,7.324,-3.418,-5.920
0.269,-0.377,0.922,8.240,-5.676,-5.066
0.262,-0.392,0.935,8.911,-6.470,-3.357
0.250,-0.392,0.944,7.935,-6.287,-1.343
0.245,-0.383,0.950,6.042,-5.615,0.427
0.245,-0.382,0.952,4.761,-4.089,1.526
0.246,-0.389,0.948,4.456,-2.991,2.075
0.244,-0.392,0.941,3.662,-3.357,2.991
0.246,-0.396,0.948,1.709,-5.615,3.601
0.250,-0.394,0.951,-0.610,-6.470,4.150
0.253,-0.386,0.935,-1.221,-5.493,5.981
0.254,-0.385,0.918,0.000,-3.540,8.362
0.251,-0.385,0.907,1.953,-2.686,10.742
0.252,-0.387,0.913,3.235,-4.028,12.634
0.251,-0.382,0.926,3.723,-6.409,14.587
0.247,-0.371,0.954,3.113,-9.521,16.357
0.237,-0.356,0.983,1.709,-11.536,17.273
0.231,-0.348,1.002,1.038,-10.864,17.578
0.237,-0.346,1.012,1.526,-7.935,18.005
0.244,-0.344,0.996,2.563,-4.272,18.555
0.248,-0.346,0.980,3.235,-2.991,18.188
0.256,-0.340,0.973,2.014,-3.723,17.761
0.266,-0.329,0.975,0.793,-4.517,18.005
0.267,-0.319,0.980,0.916,-4.211,18.860
0.264,-0.309,0.978,1.709,-2.563,20.142
0.263,-0.305,0.971,3.418,-0.671,21.179
0.261,-0.306,0.960,5.005,0.671,21.667
0.262,-0.303,0.950,5.859,1.526,22.156
0.266,-0.296,0.940,6.104,2.136,22.461
0.268,-0.291,0.929,6.104,2.686,22.461
0.267,-0.291,0.919,6.226,2.502,22.644
0.258,-0.287,0.911,5.371,2.014,22.766
0.258,-0.277,0.906,4.944,1.648,22.705
0.264,-0.271,0.900,4.456,1.587,22.888
0.262,-0.266,0.892,4.089,1.160,23.437
0.250,-0.254,0.892,3.540,0.061,23.804
0.248,-0.238,0.888,2.747,-0.183,24.292
0.249,-0.222,0.881,3.113,1.160,24.658
0.249,-0.221,0.872,3.906,1.770,23.865
0.245,-0.228,0.864,4.395,1.648,22.827
0.242,-0.227,0.851,4.272,1.282,22.034
0.251,-0.231,0.843,4.028,0.244,21.057
0.258,-0.232,0.845,3.784,-1.038,20.020
0.260,-0.248,0.853,3.784,-2.563,19.165
0.260,-0.254,0.866,3.357,-4.272,19.714
0.261,-0.247,0.882,2.747,-5.798,20.752
0.259,-0.238,0.900,2.625,-6.409,21.118
0.260,-0.240,0.910,3.784,-6.226,20.813
0.259,-0.235,0.919,5.005,-5.737,20.508
0.262,-0.234,0.923,5.310,-5.310,19.836
0.260,-0.237,0.923,5.615,-5.371,19.165
0.255,-0.236,0.925,5.249,-6.104,18.250
0.257,-0.243,0.932,4.761,-7.141,16.663
0.262,-0.252,0.933,4.395,-7.507,15.137
0.267,-0.259,0.926,4.517,-6.348,14.404
0.274,-0.269,0.906,6.165,-4.761,14.648
0.278,-0.280,0.891,8.240,-3.906,15.564
0.281,-0.289,0.882,9.705,-3.723,16.479
0.277,-0.297,0.880,9.827,-4.822,17.395
0.271,-0.295,0.882,8.606,-6.226,18.311
0.267,-0.283,0.887,7.507,-7.507,18.860
0.264,-0.274,0.888,6.775,-8.545,18.799
0.268,-0.272,0.893,6.348,-9.644,18.005
0.272,-0.271,0.904,6.470,-10.376,17.639
0.273,-0.280,0.918,6.592,-11.230,16.785
0.272,-0.292,0.921,6.714,-10.742,16.602
0.273,-0.293,0.912,6.836,-9.705,16.663
0.282,-0.299,0.905,7.446,-9.399,16.968
0.288,-0.303,0.908,8.240,-9.338,17.700
0.289,-0.302,0.916,8.667,-9.399,19.043
0.284,-0.291,0.918,9.155,-9.583,20.508
0.286,-0.284,0.924,10.071,-10.071,21.301
0.286,-0.281,0.934,9.766,-11.719,21.667
0.279,-0.283,0.954,8.240,-14.282,21.179
0.271,-0.279,0.975,5.554,-15.869,20.813
0.266,-0.265,0.990,2.625,-15.198,20.813
0.264,-0.248,0.992,0.854,-13.245,20.996
0.266,-0.241,0.983,1.099,-10.132,20.508
0.261,-0.241,0.970,1.831,-7.751,19.836
0.257,-0.233,0.961,2.625,-6.104,19.714
0.255,-0.221,0.954,3.540,-4.578,19.531
0.262,-0.221,0.943,5.493,-4.028,18.616
0.263,-0.230,0.934,7.019,-5.432,16.968
0.262,-0.233,0.940,6.836,-7.935,15.808
0.264,-0.228,0.947,5.981,-9.033,15.320
0.268,-0.220,0.944,5.981,-7.996,15.381
0.267,-0.219,0.937,6.775,-6.958,15.503
0.264,-0.219,0.930,6.836,-6.775,15.442
0.258,-0.225,0.927,5.981,-6.165,15.015
0.250,-0.222,0.923,4.822,-5.981,14.343
0.246,-0.214,0.920,4.089,-6.714,13.245
0.247,-0.208,0.926,3.784,-7.202,12.085
0.248,-0.206,0.929,4.272,-6.409,11.047
0.242,-0.210,0.928,5.493,-5.005,10.010
0.240,-0.223,0.922,6.531,-4.028,8.728
0.250,-0.237,0.922,6.470,-5.066,7.446
0.255,-0.241,0.931,5.127,-7.141,6.470
0.252,-0.248,0.936,3.845,-8.484,5.554
0.248,-0.252,0.932,2.563,-8.911,4.883
0.249,-0.251,0.930,1.770,-8.606,4.395
0.250,-0.256,0.933,1.648,-9.216,4.211
0.252,-0.255,0.942,1.099,-9.766,3.845
0.247,-0.259,0.959,0.427,-10.010,3.662
0.235,-0.263,0.974,0.427,-9.888,3.662
0.232,-0.262,0.988,0.122,-9.216,3.357
0.226,-0.262,1.001,-0.183,-7.446,3.235
0.223,-0.257,1.001,0.305,-5.493,3.296
0.224,-0.278,0.996,0.366,-4.272,2.686
0.218,-0.279,1.002,-3.235,-4.211,0.061
0.230,-0.258,1.003,-7.996,-3.601,-0.061
0.234,-0.232,1.003,-9.399,-1.953,0.183
0.239,-0.212,0.982,-8.911,1.038,0.000
0.246,-0.222,0.959,-6.531,3.967,-1.160
0.253,-0.241,0.934,-2.258,5.127,-3.296
0.248,-0.278,0.911,-0.732,4.395,-4.028
0.252,-0.279,0.903,-1.465,2.686,-3.113
0.256,-0.286,0.900,-1.648,0.732,-1.587
0.259,-0.287,0.903,-0.305,-1.099,-0.610
0.259,-0.294,0.912,1.038,-3.357,0.244
0.249,-0.291,0.932,1.587,-6.042,1.282
0.240,-0.275,0.956,1.648,-6.714,2.441
0.235,-0.257,0.963,2.380,-5.066,2.930
0.235,-0.252,0.958,3.662,-2.686,2.747
0.234,-0.249,0.954,4.028,-1.648,2.319
0.238,-0.245,0.952,3.540,-1.526,1.404
0.240,-0.250,0.941,2.563,-2.075,0.000
